Country,Cost of Living Index_x,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Rank,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index_y,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year
Switzerland,101.1,46.5,74.9,109.1,97.0,158.7,5,204.0,158.7,73.9,71.7,101.1,10.4,32.9,23.3,82.0,2024/2
Iceland,83.0,39.2,62.0,88.4,86.8,120.3,7,199.7,120.3,74.6,67.7,83.0,6.1,21.3,16.0,68.8,2024/2
Singapore,76.7,67.2,72.1,74.6,50.4,111.1,28,162.3,111.1,77.0,71.9,76.7,18.7,41.0,32.5,57.5,2024/2
Norway,76.0,26.2,52.1,79.0,73.5,114.7,9,189.0,114.7,67.1,76.0,76.0,7.8,26.4,18.2,60.0,2024/2
Denmark,72.3,26.4,50.2,64.8,81.3,127.2,3,205.6,127.2,73.9,78.5,72.3,6.6,27.8,20.8,83.7,2024/2
Hong Kong (China),70.8,59.4,65.3,84.6,46.2,109.3,46,134.5,109.3,78.4,66.0,70.8,30.0,41.9,67.0,83.6,2024/2
United States,70.4,41.7,56.6,75.0,67.2,142.3,12,185.1,142.3,50.8,68.0,70.4,3.3,33.0,36.5,80.4,2024/2
Australia,70.2,33.4,52.5,77.3,62.5,127.4,11,185.5,127.4,52.8,73.1,70.2,8.4,38.0,27.0,93.8,2024/2
Austria,65.1,22.5,44.7,66.4,59.3,102.4,8,190.8,102.4,70.6,77.2,65.1,11.0,23.9,21.2,81.8,2024/2
Canada,64.8,33.2,49.6,71.2,61.7,103.7,30,161.3,103.7,54.5,69.1,64.8,10.4,33.6,29.7,55.0,2024/2
New Zealand,64.6,25.9,46.0,71.9,57.1,121.0,14,184.4,121.0,52.1,68.6,64.6,8.8,33.2,26.3,95.5,2024/2
Ireland,64.4,42.3,53.8,59.3,65.3,101.1,29,161.3,101.1,53.2,51.3,64.4,7.2,37.8,34.4,87.8,2024/2
France,63.7,21.0,43.2,69.5,56.3,102.4,31,159.8,102.4,44.7,77.8,63.7,11.2,34.8,43.7,88.4,2024/2
Finland,63.2,19.7,42.4,63.0,63.6,118.0,6,199.9,118.0,73.8,77.5,63.2,8.4,25.8,11.9,61.1,2024/2
Netherlands,63.1,33.5,48.9,59.9,61.2,124.9,2,207.5,124.9,73.6,79.3,63.1,7.7,23.5,21.4,87.0,2024/2
Israel,62.7,27.1,45.6,59.6,68.0,99.4,34,157.6,99.4,68.0,73.3,62.7,14.3,36.4,56.8,93.7,2024/2
Luxembourg,62.4,40.5,51.9,64.1,68.7,182.5,1,219.3,182.5,65.7,75.3,62.4,8.9,27.2,23.3,82.6,2024/2
Germany,62.2,24.4,44.0,60.8,52.8,120.2,13,185.0,120.2,61.0,72.0,62.2,9.4,30.0,28.7,82.0,2024/2
United Kingdom,62.0,31.1,47.1,56.9,62.7,115.2,24,170.6,115.2,52.2,73.2,62.0,9.1,34.7,40.4,86.0,2024/2
Belgium,61.1,20.1,41.4,57.5,66.0,109.8,27,163.5,109.8,50.3,75.6,61.1,7.0,35.3,49.5,83.8,2024/2
South Korea,60.1,16.0,38.9,81.4,31.4,109.4,38,149.5,109.4,75.2,83.0,60.1,20.7,40.6,61.4,68.4,2024/2
Sweden,59.3,20.9,40.9,60.8,54.7,122.6,10,186.7,122.6,51.7,68.3,59.3,7.7,29.1,17.7,73.6,2024/2
Italy,56.2,19.2,38.5,57.0,53.3,78.3,41,145.6,78.3,52.9,65.3,56.2,10.2,32.4,53.8,88.9,2024/2
United Arab Emirates,55.8,41.3,48.9,45.3,49.2,127.9,20,177.5,127.9,84.4,70.4,55.8,3.9,36.2,48.2,47.1,2024/2
Cyprus,54.7,24.8,40.4,49.6,53.2,71.4,35,154.8,71.4,67.4,56.8,54.7,8.1,23.3,55.3,95.7,2024/2
